City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
398,Wanning,CN,79.92,overcast clouds,18.8003,110.3967,Paradise Hotel
408,Sioux Lookout,CA,76.42,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
411,Zhob,PK,83.35,clear sky,31.3411,69.4481,ROOM # 105 DUBAI HOTEL ZHOB
415,Najran,SA,79.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
422,Morros,BR,78.31,clear sky,-9.4467,-46.3003,
425,Suluq,LY,76.28,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
432,Tanggu,CN,80.56,overcast clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
435,Bandarbeyla,SO,75.24,scattered clouds,9.4942,50.8122,JABIR HOTEL
437,Auki,SB,81.12,scattered clouds,-8.7676,160.7034,Auki Motel
438,Meulaboh,ID,75.06,overcast clouds,4.1363,96.1285,Kost Pria
442,Bull Savanna,JM,82.58,scattered clouds,17.8868,-77.5902,Big Red's
447,Artyom,AZ,78.94,clear sky,40.4723,50.333,Pir hos
448,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
450,Murgab,TM,85.53,clear sky,37.4966,61.9714,Wepa Nurlyýew
451,Sabha,LY,84.24,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
453,Yenangyaung,MM,81.19,overcast clouds,20.4667,94.8833,Hotel Country
460,Barra Do Garcas,BR,76.87,scattered clouds,-15.89,-52.2567,Pousada Tropical
461,Ranong,TH,79.79,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
462,Akdepe,TM,89.04,clear sky,42.0551,59.3788,
464,Paka,MY,78.13,moderate rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
465,Shubarshi,KZ,76.87,scattered clouds,48.5872,57.1869,
466,Nishihara,JP,84.25,scattered clouds,26.1842,127.7558,Minshuku Agaihama
468,French Harbor,HN,86.07,broken clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
469,Emba,KZ,77.61,scattered clouds,48.8264,58.1442,
471,Saint Anthony,US,89.65,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
472,Patiya,BD,76.77,overcast clouds,22.2931,91.9762,Sorry
479,Shimoda,JP,78.1,light rain,34.6667,138.95,Shimoda Tokyu Hotel
486,Komsomolskiy,UZ,78.94,clear sky,40.4272,71.7189,Ikathouse
487,Priego De Cordoba,ES,83.52,clear sky,37.4381,-4.1952,Hotel Las Rosas
488,Igdir,TR,85.93,clear sky,39.9237,44.045,Igdir Central Hotel Emperor Hotel
489,Cockburn Town,TC,82.22,clear sky,21.4612,-71.1419,Osprey Beach Hotel
491,Ternate,ID,79.65,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
492,Anori,BR,80.71,light rain,-3.7728,-61.6442,Novo Hotel 5 Irmãos
493,Russell,US,88.02,clear sky,32.3502,-85.1999,Macs
499,Qadirpur Ran,PK,89.49,clear sky,30.2924,71.6712,Govt Guest House
502,Siwan,IN,89.4,moderate rain,26.2167,84.3667,Hotel Manish
503,Nurota,UZ,81.36,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
505,West Wendover,US,88.81,light rain,40.7391,-114.0733,"Motel 6 Wendover, UT"
507,Tongren,CN,75.7,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
509,Unity,CA,80.26,clear sky,52.4501,-109.1682,Greenhead Motel & RV Park
510,Samarai,PG,80.67,few clouds,-10.6167,150.6667,Nuli Sapi
512,Tambo Grande,PE,85.23,overcast clouds,-4.9269,-80.3447,Hostal Nuevo Primavera
513,Grevesmuhlen,DE,75.29,clear sky,53.8667,11.1833,Ringhotel am See
516,Isangel,VU,79.03,few clouds,-19.55,169.2667,Tanna Lodge
517,Manuk Mangkaw,PH,82.72,broken clouds,4.8,119.85,
523,Da Nang,VN,76.98,few clouds,16.0678,108.2208,Grand Mercure Danang
525,Mahibadhoo,MV,82.22,overcast clouds,3.7833,72.9667,Omadhoo Inn
526,Mazagao,BR,78.85,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
528,Miranda,CO,84.33,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
530,Aktau,KZ,82.98,scattered clouds,43.65,51.2,Silk Way Hotel
531,Poya,NC,76.3,scattered clouds,-21.35,165.15,
536,Portobelo,PA,84.74,overcast clouds,9.55,-79.65,Scuba Portobelo
538,Mae Ramat,TH,79.81,moderate rain,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
