City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
77,Cape Town,ZA,2022-07-19 22:01:51,clear sky,-33.9258,18.4232,59.38,78,1,5.99
78,Norman Wells,CA,2022-07-19 22:01:51,overcast clouds,65.282,-126.8329,62.47,55,100,5.21
79,Ixtapa,MX,2022-07-19 22:01:52,overcast clouds,20.7,-105.2,88.23,73,98,5.99
80,Arraial Do Cabo,BR,2022-07-19 22:01:52,scattered clouds,-22.9661,-42.0278,71.04,88,26,12.71
81,Kutum,SD,2022-07-19 22:01:52,few clouds,14.2,24.6667,78.13,57,18,15.46
82,Bambous Virieux,MU,2022-07-19 22:01:53,light rain,-20.3428,57.7575,66.22,63,53,23.71
83,Arica,CL,2022-07-19 22:01:51,broken clouds,-18.475,-70.3042,60.89,84,75,4.61
84,Progreso,MX,2022-07-19 22:01:53,scattered clouds,21.2833,-89.6667,98.11,70,43,19.22
85,Roald,NO,2022-07-19 22:01:54,clear sky,62.5833,6.1333,68.92,77,0,14.97
86,Ozinki,RU,2022-07-19 22:01:54,few clouds,51.1786,49.6769,62.91,63,13,6.98
87,Ballina,AU,2022-07-19 22:01:54,overcast clouds,-28.8667,153.5667,53.02,99,93,14.27
88,Anadyr,RU,2022-07-19 22:01:11,broken clouds,64.75,177.4833,48.7,81,75,20.13
89,Porto Velho,BR,2022-07-19 22:01:55,clear sky,-8.7619,-63.9039,89.65,35,0,5.75
90,Flinders,AU,2022-07-19 22:02:55,light rain,-34.5833,150.8552,52.18,89,67,7.0
91,Porto Novo,BJ,2022-07-19 22:02:56,overcast clouds,6.4965,2.6036,73.8,79,88,6.44
92,Pevek,RU,2022-07-19 22:02:57,overcast clouds,69.7008,170.3133,32.29,97,100,13.35
93,Katherine,AU,2022-07-19 22:02:57,scattered clouds,-14.4667,132.2667,61.75,55,42,4.59
94,Makakilo City,US,2022-07-19 22:02:57,scattered clouds,21.3469,-158.0858,82.56,56,40,13.8
95,Rumuruti,KE,2022-07-19 22:02:58,overcast clouds,0.267,36.5389,55.18,84,90,6.85
96,Hami,CN,2022-07-19 22:02:58,overcast clouds,42.8,93.45,76.14,30,97,11.63
97,Camacha,PT,2022-07-19 22:02:59,scattered clouds,33.0833,-16.3333,67.42,78,40,6.91
98,Caravelas,BR,2022-07-19 22:02:59,scattered clouds,-17.7125,-39.2481,70.32,85,30,5.3
99,Provideniya,RU,2022-07-19 22:03:00,overcast clouds,64.3833,-173.3,48.51,63,95,4.41
100,Araguaina,BR,2022-07-19 22:00:38,scattered clouds,-7.1911,-48.2072,81.54,32,43,3.51
101,Port Alfred,ZA,2022-07-19 22:03:00,light rain,-33.5906,26.891,61.18,94,94,1.99
102,Ust-Kuyga,RU,2022-07-19 22:03:00,overcast clouds,70.0167,135.6,38.82,87,100,13.18
103,Victoria,HK,2022-07-19 22:02:54,overcast clouds,22.2855,114.1577,86.38,82,100,5.99
104,Narsaq,GL,2022-07-19 22:03:01,overcast clouds,60.9167,-46.05,53.82,93,100,2.73
105,Coahuayana,MX,2022-07-19 22:03:01,overcast clouds,18.7333,-103.6833,90.05,62,98,6.71
106,Yenagoa,NG,2022-07-19 22:03:02,broken clouds,4.9247,6.2642,73.54,84,61,4.05
107,Kabin Buri,TH,2022-07-19 22:03:02,overcast clouds,13.9511,101.7177,76.48,96,100,1.28
108,Severo-Kurilsk,RU,2022-07-19 22:03:03,overcast clouds,50.6789,156.125,52.81,94,99,15.1
109,Khatanga,RU,2022-07-19 22:03:03,overcast clouds,71.9667,102.5,43.03,61,100,17.58
110,Merauke,ID,2022-07-19 22:03:04,overcast clouds,-8.4667,140.3333,76.41,85,95,9.89
111,Comodoro Rivadavia,AR,2022-07-19 22:03:04,few clouds,-45.8667,-67.5,49.06,64,15,37.09
112,Sri Aman,MY,2022-07-19 22:03:05,clear sky,1.2376,111.4621,72.34,87,4,0.94
113,Laukaa,RU,2022-07-19 22:03:05,light rain,58.7372,29.8453,53.58,98,28,5.26
114,Huambo,AO,2022-07-19 22:00:29,clear sky,-12.7761,15.7392,56.39,41,3,2.75
115,North Bend,US,2022-07-19 22:03:06,mist,43.4065,-124.2243,80.24,83,100,12.66
